,ID,Name,Year,Rank,Average,Bayes average,Users rated,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12,recommendation13,recommendation14,recommendation15,recommendation16,recommendation17,recommendation18,recommendation19,recommendation20,recommendation21,recommendation22,recommendation23,recommendation24,recommendation25,recommendation26,recommendation27,recommendation28
21,316554,Dune: Imperium,2020,22,8.32,0.01,14395,169786,167791,341169,183394,162886,224517,342942.0,170216.0,328871.0,361545.0,312484.0,199792.0,185343.0,237182.0,279537.0,317985.0,262712.0,201808.0,233371.0,397598.0,246900.0,247763.0,266810.0,365717.0,220308.0,170042.0,329082.0,266507.0
22,266192,Wingspan,2019,23,8.1,0.01,55347,266524,312484,281259,230802,244521,173346,286096.0,295947.0,183394.0,199561.0,350184.0,366013.0,236457.0,342942.0,163412.0,199792.0,295486.0,274960.0,283155.0,293014.0,209685.0,271324.0,287954.0,265736.0,218603.0,263918.0,284083.0,258036.0
23,205637,Arkham Horror: The Card Game,2016,24,8.16,0.01,32811,359609,257499,146021,205059,269385,291457,,,,,,,,,,,,,,,,,,,,,,
24,183394,Viticulture Essential Edition,2015,25,8.06,0.01,34480,342942,341169,312484,167791,170042,286096,236457.0,169786.0,266192.0,328871.0,177736.0,316554.0,266810.0,164928.0,199792.0,247763.0,231733.0,244521.0,128621.0,318084.0,279537.0,157354.0,102794.0,317985.0,193738.0,295947.0,185343.0,262712.0
25,164928,Orléans,2014,26,8.08,0.01,24478,182874,126163,203993,220877,171623,193738,247763.0,245638.0,229853.0,250458.0,102680.0,276025.0,177736.0,311193.0,300322.0,228341.0,157354.0,234487.0,124361.0,216132.0,35677.0,183394.0,148949.0,244711.0,318084.0,245934.0,227789.0,170042.0
26,237182,Root,2018,27,8.1,0.01,31226,169786,162886,291572,316554,246900,233078,170216.0,224517.0,274364.0,245655.0,167791.0,284653.0,205896.0,182028.0,155821.0,283355.0,296912.0,329082.0,285967.0,297562.0,341169.0,253499.0,321608.0,279537.0,397598.0,189932.0,249259.0,246784.0
27,96848,Mage Knight Board Game,2011,28,8.1,0.01,29350,174430,72125,82222,162886,121921,37111,180263.0,146652.0,318184.0,291457.0,37046.0,25292.0,169786.0,209010.0,187645.0,318182.0,110327.0,316554.0,31481.0,248562.0,127023.0,182028.0,163602.0,189932.0,150376.0,271896.0,191189.0,38453.0
28,199792,Everdell,2018,29,8.09,0.01,28528,312484,244521,295947,328871,266192,365717,183394.0,201808.0,316554.0,356033.0,329465.0,342942.0,283155.0,287954.0,263918.0,258036.0,269207.0,169786.0,298069.0,233371.0,361545.0,279537.0,170042.0,314491.0,266524.0,199561.0,270844.0,271320.0
29,3076,Puerto Rico,2002,30,7.97,0.01,65340,31260,18602,2651,31594,120677,93,84876.0,8217.0,25554.0,144733.0,68448.0,28143.0,54.0,35677.0,25613.0,555.0,34635.0,124361.0,148949.0,126163.0,36218.0,122515.0,193738.0,43015.0,171623.0,9217.0,73439.0,102794.0
30,175914,Food Chain Magnate,2015,31,8.12,0.01,15316,256960,28720,256730,214880,62219,229892,13122.0,350205.0,228372.0,552.0,122515.0,145371.0,262941.0,4098.0,161882.0,111341.0,43015.0,54138.0,875.0,146910.0,182028.0,202426.0,220308.0,2651.0,224517.0,297486.0,124361.0,332686.0
31,266507,Clank!: Legacy – Acquisitions Incorporated,2019,32,8.7,0.01,4844,233371,201808,365717,328871,161936,195421,361545.0,279537.0,285192.0,316554.0,169426.0,329465.0,199792.0,216734.0,314040.0,169786.0,255984.0,197376.0,302723.0,209010.0,245655.0,162886.0,174430.0,291457.0,227935.0,379078.0,248490.0,258036.0
32,102794,Caverna: The Cave Farmers,2013,33,8.0,0.01,29711,177736,126163,193738,216132,84876,120677,,,,,,,,,,,,,,,,,,,,,,
33,170216,Blood Rage,2015,34,7.99,0.01,37386,169786,205896,316554,285967,189932,127023,237182.0,297562.0,162886.0,246900.0,262712.0,233078.0,176920.0,201808.0,172287.0,167791.0,245655.0,209010.0,195539.0,187645.0,183394.0,202408.0,192457.0,233371.0,132531.0,54998.0,167355.0,232405.0
34,31260,Agricola,2007,35,7.93,0.01,65989,3076,2651,120677,28143,18602,84876,144733.0,68448.0,31481.0,124361.0,35677.0,36218.0,122515.0,25613.0,93.0,193738.0,102794.0,43015.0,182028.0,19857.0,126163.0,73439.0,8217.0,27833.0,167791.0,148949.0,20551.0,220308.0
35,312484,Lost Ruins of Arnak,2020,36,8.11,0.01,16248,342942,236457,286096,266192,183394,350184,,,,,,,,,,,,,,,,,,,,,,
36,285774,Marvel Champions: The Card Game,2019,37,8.2,0.01,13804,374173,387866,298047,381297,291457,277659,,,,,,,,,,,,,,,,,,,,,,
37,276025,Maracaibo,2019,38,8.21,0.01,10569,229853,247763,310873,216132,308765,126163,177736.0,317985.0,193738.0,342942.0,236457.0,164928.0,182874.0,220308.0,244711.0,185343.0,262215.0,102794.0,300322.0,231733.0,203993.0,251247.0,283948.0,266810.0,343905.0,250458.0,311193.0,265188.0
38,192135,Too Many Bones,2017,39,8.43,0.01,7765,262211,322656,313889,373167,338434,295770,284121.0,218417.0,251661.0,241451.0,235802.0,291457.0,318182.0,255984.0,352179.0,318184.0,325494.0,248562.0,342900.0,180263.0,162886.0,290484.0,174430.0,312859.0,191189.0,277659.0,306735.0,311988.0
39,221107,Pandemic Legacy: Season 2,2017,40,8.11,0.01,13581,161936,314040,239188,146508,2511,224037,266507.0,198928.0,259081.0,197376.0,245655.0,302723.0,195421.0,171131.0,30549.0,255984.0,150376.0,279537.0,162886.0,209778.0,174430.0,180263.0,181304.0,209010.0,136063.0,300300.0,328908.0,218074.0
40,205059,Mansions of Madness: Second Edition,2016,41,8.03,0.01,28337,146021,257499,269385,340466,193037,167355,,,,,,,,,,,,,,,,,,,,,,
41,246900,Eclipse: Second Dawn for the Galaxy,2020,42,8.68,0.01,5213,233078,169786,297562,237182,205896,285967,,,,,,,,,,,,,,,,,,,,,,
42,284083,The Crew: The Quest for Planet Nine,2019,43,7.97,0.01,24498,324856,254640,98778,178900,129622,225694,,,,,,,,,,,,,,,,,,,,,,
43,251247,Barrage,2019,44,8.22,0.01,9326,310873,220308,224517,125153,193738,317985,229853.0,184267.0,161533.0,341169.0,276025.0,284378.0,383179.0,359438.0,364011.0,177736.0,126163.0,247763.0,216132.0,283948.0,167791.0,120677.0,308765.0,163068.0,182028.0,175640.0,311193.0,185343.0
44,247763,Underwater Cities,2018,45,8.1,0.01,12651,265188,308765,229853,311193,276025,228341,250458.0,304420.0,266810.0,164928.0,310873.0,182874.0,343905.0,262215.0,300322.0,298383.0,342942.0,297030.0,193738.0,359438.0,355093.0,296151.0,163068.0,332772.0,126163.0,220877.0,351913.0,364011.0
45,185343,Anachrony,2017,46,8.11,0.01,13249,276025,317985,342942,220308,286096,177736,167791.0,169786.0,341169.0,316554.0,229853.0,247763.0,236457.0,231733.0,183394.0,163068.0,102794.0,224517.0,193738.0,312484.0,266810.0,251247.0,216132.0,233398.0,142379.0,184267.0,126163.0,310873.0
46,126163,Tzolk'in: The Mayan Calendar,2012,47,7.89,0.01,33111,193738,216132,171623,229853,164928,102794,,,,,,,,,,,,,,,,,,,,,,
47,2651,Power Grid,2004,48,7.84,0.01,58488,31260,3076,124361,43015,120677,122515,35677.0,18602.0,28720.0,93.0,27833.0,19857.0,84876.0,193738.0,28143.0,144733.0,73439.0,5.0,126163.0,31481.0,36218.0,102794.0,182028.0,68448.0,62219.0,25613.0,148949.0,31594.0
48,55690,Kingdom Death: Monster,2015,49,8.61,0.01,8038,251661,169427,242705,280794,295770,312859,174430.0,264220.0,325494.0,180263.0,273910.0,262211.0,192135.0,322656.0,295785.0,322708.0,281526.0,257518.0,310100.0,96848.0,207243.0,170771.0,209010.0,284121.0,219217.0,342372.0,167355.0,253344.0
49,180263,The 7th Continent,2017,50,8.05,0.01,18727,174430,255984,295770,96848,266507,291457,,,,,,,,,,,,,,,,,,,,,,
50,256960,Pax Pamir: Second Edition,2019,51,8.36,0.01,6599,175914,332686,308119,316624,262941,28720,202426.0,303954.0,229892.0,62219.0,214880.0,291572.0,256730.0,228372.0,319966.0,161882.0,30645.0,552.0,350205.0,13122.0,145371.0,182028.0,337765.0,198953.0,237182.0,128780.0,63888.0,249381.0
51,216132,Clans of Caledonia,2017,52,7.99,0.01,16655,126163,146886,193738,229853,73439,102794,,,,,,,,,,,,,,,,,,,,,,
52,209010,Mechs vs. Minions,2016,53,8.03,0.01,15067,174430,216734,162886,150376,170216,161936,245655.0,266507.0,202408.0,39463.0,169786.0,195421.0,82222.0,176920.0,172287.0,302723.0,171131.0,170416.0,169426.0,110327.0,37046.0,271055.0,192457.0,155624.0,248490.0,221194.0,232405.0,180263.0
53,164153,Star Wars: Imperial Assault,2014,54,8.0,0.01,21729,271896,103885,187645,269385,370913,124708,174430.0,42776.0,103886.0,146652.0,205359.0,163602.0,192153.0,163745.0,205059.0,96848.0,100423.0,374173.0,150376.0,37111.0,146439.0,71721.0,260428.0,291457.0,232918.0,59946.0,232405.0,342848.0
54,35677,Le Havre,2008,55,7.87,0.01,27926,124361,193738,73439,126163,102680,159675,70149.0,122515.0,203993.0,144733.0,172386.0,171623.0,120677.0,216132.0,143693.0,164928.0,102794.0,144344.0,127060.0,2651.0,39683.0,146886.0,182874.0,220308.0,229853.0,104006.0,31260.0,177736.0
55,184267,On Mars,2020,56,8.26,0.01,7797,284378,125153,237179,163068,161533,175640,,,,,,,,,,,,,,,,,,,,,,
56,125153,The Gallerist,2015,57,8.06,0.01,11049,161533,184267,284378,175640,310873,251247,,,,,,,,,,,,,,,,,,,,,,
57,230802,Azul,2017,58,7.8,0.01,62252,163412,148228,54043,233867,204583,209685,194655.0,266192.0,219513.0,295486.0,215311.0,218603.0,364073.0,173346.0,242302.0,129622.0,366013.0,822.0,15512.0,158600.0,184921.0,70919.0,245654.0,191862.0,274960.0,271324.0,281259.0,293014.0
58,72125,Eclipse,2011,59,7.88,0.01,26820,37111,31481,127023,40765,105551,25292,,,,,,,,,,,,,,,,,,,,,,
59,161533,Lisboa,2017,60,8.2,0.01,7845,125153,175640,284378,184267,310873,237179,251247.0,220308.0,325022.0,229853.0,142379.0,224517.0,163068.0,269511.0,364011.0,300322.0,297030.0,338760.0,280480.0,256730.0,247763.0,203993.0,193738.0,276025.0,172386.0,281442.0,359438.0,35677.0
60,25613,Through the Ages: A Story of Civilization,2006,61,7.9,0.01,18359,31260,3076,120677,20551,18602,28143,,,,,,,,,,,,,,,,,,,,,,
61,244521,The Quacks of Quedlinburg,2018,62,7.84,0.01,29179,295947,265736,298069,199792,266192,199561,,,,,,,,,,,,,,,,,,,,,,
62,521,Crokinole,1876,63,7.94,0.01,13384,284083,140934,193042,221965,92415,172,324856.0,178900.0,12942.0,39463.0,262543.0,274364.0,206718.0,30549.0,11971.0,295374.0,36218.0,345972.0,11.0,279537.0,31481.0,28143.0,129622.0,12.0,156129.0,266830.0,47.0,254640.0
63,124742,Android: Netrunner,2012,64,7.88,0.01,27636,72125,37111,257501,31481,39463,96848,463.0,38453.0,237182.0,58281.0,162886.0,127023.0,28143.0,169786.0,110327.0,245655.0,209010.0,150376.0,132531.0,147020.0,43111.0,101721.0,174430.0,36218.0,90137.0,170216.0,205716.0,171668.0
